#Date,Temperatur,Luftfuktighet
2019-08-04 12:04:00,27,74
2019-08-04 12:57:36,26.3,75
2019-08-04 13:56:00,25.8,75
2019-08-04 14:59:11,25.2,75
2019-08-04 15:51:11,25.2,75
2019-08-04 16:53:35,24.9,75
2019-08-04 17:55:59,24.6,74
2019-08-04 18:58:23,24.4,74
2019-08-04 19:50:23,23.9,73
2019-08-04 20:52:47,24.9,70
2019-08-04 21:55:11,24.9,61
2019-08-04 22:57:35,24.7,61
2019-08-04 23:49:35,24.9,20
2019-08-05 00:51:59,24.6,20
2019-08-05 01:54:23,24.4,20
2019-08-05 02:56:47,24.2,20
2019-08-05 03:59:11,24,20
2019-08-05 04:51:11,23.9,43
2019-08-05 05:53:35,23.9,72
2019-08-05 06:55:59,23.9,74
2019-08-05 07:58:23,23.8,73
2019-08-05 08:50:22,24.6,74
2019-08-05 09:53:34,24.7,75
2019-08-05 10:55:58,24.8,74
2019-08-05 11:58:22,25.4,75
2019-08-05 12:50:22,25.9,75
2019-08-05 13:52:46,25.8,75
2019-08-05 14:34:22,25.6,75
2019-08-05 15:57:34,25,75
2019-08-05 16:49:34,25.1,75
2019-08-05 17:51:58,25.3,75
2019-08-05 18:54:22,25.6,74
2019-08-05 19:56:46,26.4,73
2019-08-05 20:59:10,26,69
2019-08-05 21:15:10,25.9,67
2019-08-05 22:58:22,25.5,61
2019-08-05 23:40:46,25.4,20
2019-08-06 00:49:34,25.2,20
2019-08-06 01:51:58,25.1,20
2019-08-06 02:54:21,24.9,20
2019-08-06 03:51:09,24.8,20
2019-08-06 04:57:33,24.7,49
2019-08-06 05:56:45,24.6,69
2019-08-06 06:56:45,24.6,71
2019-08-06 07:27:57,24.7,74
2019-08-06 07:27:57,24.7,74
2019-08-06 07:27:57,24.7,74
2019-08-06 07:27:57,24.7,74
2019-08-06 11:50:21,25.3,75
2019-08-06 12:43:09,25.6,75
2019-08-06 13:56:45,25.6,75
2019-08-06 14:59:09,25.7,75
2019-08-06 15:51:09,25.7,75
2019-08-06 16:53:33,25.8,75
2019-08-06 17:55:57,26.1,74
2019-08-06 18:58:21,26.2,74
2019-08-06 19:50:21,26.3,73
2019-08-06 20:52:44,26.1,70
2019-08-06 21:55:08,25.8,43
2019-08-06 22:57:32,25.6,39
2019-08-06 23:51:08,25.4,20
2019-08-07 00:54:20,25.2,20
2019-08-07 01:27:56,25.1,20
2019-08-07 02:33:32,24.9,20
2019-08-07 03:15:08,24.7,20
2019-08-07 03:15:08,24.7,20
2019-08-07 05:01:32,24.4,57
2019-08-07 06:37:32,24.3,75
2019-08-07 07:52:44,24.6,75
2019-08-07 08:13:32,24.6,74
2019-08-07 09:08:44,24.4,75
2019-08-07 10:52:44,25.1,75
2019-08-07 11:51:56,25.2,75
2019-08-07 12:16:44,25.1,75
2019-08-07 13:57:32,25.3,75
2019-08-07 13:57:32,25.3,75
2019-08-07 15:19:07,25.3,75
2019-08-07 16:42:19,25.1,73
2019-08-07 16:42:19,25.1,73
2019-08-07 16:42:19,25.1,73
2019-08-07 16:42:19,25.1,73
2019-08-07 16:42:19,25.1,73
2019-08-07 21:23:55,24.4,58
2019-08-07 22:54:19,24.2,39
2019-08-07 23:47:07,24.1,20
2019-08-08 00:49:32,23.9,20
2019-08-08 01:55:07,23.7,20
2019-08-08 02:47:55,23.6,20
2019-08-08 03:50:19,23.5,20
2019-08-08 04:55:55,23.4,33
2019-08-08 05:52:43,23.3,65
2019-08-08 06:58:19,23.4,75
2019-08-08 07:52:43,23.7,75
2019-08-08 08:55:06,24.1,75
2019-08-08 09:49:30,24,75
2019-08-08 10:55:06,24.2,75
2019-08-08 11:57:30,24.3,75
2019-08-08 12:49:30,24.3,75
2019-08-08 13:57:30,24.4,75
2019-08-08 14:50:18,24.8,75
2019-08-08 15:51:06,25,75
2019-08-08 16:52:42,25.3,75
2019-08-08 17:16:42,25.4,75
2019-08-08 18:48:42,25.6,74
2019-08-08 19:54:18,25,73
2019-08-16 17:53:20,24.2,75
2019-08-16 18:25:20,24.2,74
2019-08-16 18:49:20,24.3,75
2019-08-16 19:37:20,24,73
2019-08-16 20:59:43,23.5,59
2019-08-16 21:58:55,23.8,58
2019-08-16 22:54:55,24.1,59
2019-08-16 23:57:20,23.6,20
2019-08-17 00:46:07,23.2,20
2019-08-17 01:52:32,22.8,20
2019-08-17 02:54:07,22.6,20
2019-08-17 03:54:07,22.6,20
2019-08-17 04:51:43,22.5,20
2019-08-17 05:56:31,22.4,67
2019-08-17 06:52:31,22.6,72
2019-08-17 07:57:19,22.6,74
2019-08-17 08:53:19,22.7,72
2019-08-17 09:51:43,22.7,74
2019-08-17 10:38:55,23,75
2019-08-17 11:54:07,23.6,74
2019-08-17 12:58:55,23.7,74
2019-08-17 13:53:19,23.7,75
2019-08-17 14:56:30,23.9,74
